"","Month","Day","Year","location","route","operator","aboard","fatalities","summary","deathRate"
"1","January","01","2007","Indonesia","Surabaya, East Java - Manado, Indonesia","Adam Air",102,102,"While flying at FL350 the airliner went missing between Surabaya and Manado in poor weather conditions after the pilot reported strong winds. Wreckage was found 5 miles south of Parepare. The accident was caused by the autopilot being accidentally disconnected. The two pilots had been trying to fix a problem with the plane's navigation instruments when they disconnected the autopilot and lost control of the plane. Without the autopilot, the plane went out of control, listing to the right and pitching down. The IRS navigation system was repeatedly reported malfunctioning but was never repaired. This is what initially distracted the crew.",100
"2","January","05","2007","Tanzania","Dar es Salaam - Matabwe","DJB Air Charter",10,1,"The pilot attempted to land using full flaps and touched down about halfway down the runway. He aborted the landing and applied power to take off. The aircraft struck trees beyond the end of the runway. The airport  is served by a 2,300 foot runway with a significant downslope on one end. The runway had been exposed to recent heavy rain.",10
"3","January","09","2007","Iraq","Adana, Turkey - Balad Air Base, Iraq","Moldovan Aeriantur-M Air Cargo",35,34,"The cargo plane crashed in fog while attempting to land for a second time at Balad Air Base. After the first attempt to land was aborted, the plane crashed 2.5km short of the runway.The plane was carrying Turkish construction workers.",97.14
"4","January","09","2007","Mexico","Laredo, TX - Guadalajara, Mexico","Ameristar Jet Charter",2,2,"The cargo plane crashed and burst into flames in a rural hilly area about 15 miles from Miguel Hidalgo Airport, Guadalajara, Mexico.",100
"5","January","12","2007","California","Van Nuys - Long Beach","SunQuest Executive Air Charter",2,2,"The business jet crashed about a half-mile north of a runway while attempting to take off for a positioning flight to Long Beach. The plane had an emergency on board and was trying to return to the airport. Both the pilot and copilot were killed. The pilot's failure to maintain an adequate airspeed during the initial climb resulting in an inadvertent stall/spin. Contributing to the accident were the second pilots inadequate preflight, failure to properly secure the front baggage door, and the front left baggage door opening in flight, which likely distracted the first pilot.",100
"6","January","20","2007","Iraq","?","Military - US Army",12,12,"The helicopter crashed northeast of Baghdad. Shot down by a combination of several heavy machine guns and a shoulder-fired missile",100
"7","January","25","2007","France","Pau - Paris","Regional Compagnie Aerienne Europeenne",54,0,"The crew abandoned their takeoff after the loss of an engine due to bird ingestion. The jet overshot the runway and collided with a truck, killing the driver. The landing gear sheared off and the plane came to rest in a field.",0
"8","February","06","2007","Turks & Caicos Islands","North Caicos - Grand Turk","Air Turks & Caicos",6,1,"While on final approach, the charter aircraft crashed short of the runway, killing the pilot who was the nephew of Turks & Caicos Premier.",16.67
"9","February","07","2007","Montana","Great Falls - Bozeman","Metro Aviation",3,3,"Crashed under unknown circumstances 15 miles north of Bozeman while attempting to land. The aircraft was on a positioning flight. The pilot's failure to maintain an adequate altitude and descent rate during a night visual approach. Dark night conditions and mountainous terrain are factors in the accident.",100
"10","March","07","2007","Indonesia","Jakarta - Yogyakarta","Garuda Indonesia Airlines",140,22,"While attempting to land, the plane overshot the runway, crashed through the airport barrier fence and burst into flames. The cockpit voice recorder revealed that the pilot and co-pilot were arguing over their speed and wing flap angles moments before the crash. An investigator stated the passenger jet was flying at up to 265 mph, almost double the normal landing speed, while attempting to land. The captain ignored the plane’s automated warning system as it sounded alarms fifteen times. He also ignored calls from the co-pilot to go around and make another approach.",15.71
